name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
Hasee Z8-DA7NS (04HAZ8DA7NS),86978,15.6,1920x1080 FHD ,Intel Core i7 ,10.0,12650H ,2.3,NVIDIA GeForce RTX 3060 ,16.0,SSD ,DOS / без ОС ,1705.2024914285716,Hasee 
HP ZBook Power G9 4T506AV,192993,15.6,1920x1080 FHD ,Intel Core i7 ,14.0,12700H ,2.3,NVIDIA T600 ,16.0,SSD ,Windows 10 Pro 64-bit ,1900.0,HP 
MSI Prestige 15 A12UD-225RU 9S7-16S822-225,131000,15.6,1920x1080 FHD ,Intel Core i7 ,14.0,1280P ,1.8,NVIDIA GeForce RTX 3050 Ti ,16.0,SSD ,Windows 11 Pro ,1690.0,MSI 
Lenovo ThinkBook 14s Yoga ITL 20WE006ERU,109987,14.0,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Pro ,1500.0,Lenovo 
HIPER DZEN MTL1569 X1D1481S,55900,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1700.0,HIPER 
Lenovo IdeaPad 3 15ABA7 82RN000ERK,55890,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5625U ,2.3,AMD Radeon Graphics ,8.0,SSD ,no OS (без операционной системы) ,1650.0,Lenovo 
ASUS M1403QA-LY112 90NB0Y11-M006Y0,70920,14.0,1920х1200 ,AMD Ryzen 7 ,8.0,5800H ,3.2,AMD Radeon Vega 7 ,16.0,SSD ,DOS / без ОС ,1600.0,ASUS 
Apple MacBook Pro A2442 MKGT3B/A,240000,14.2,3024х1964 ,Apple M1 ,10.0,1135G7 ,3.2,Intel Iris Xe Graphics ,16.0,SSD ,MAC OS ,1610.0,Apple 
Ультрабук Acer Swift 3 SF314-43-R0MR NX.AB1ER.016,52990,14.0,1920x1080 FHD ,AMD Ryzen 3 ,4.0,5300U ,2.6,AMD Radeon Graphics ,8.0,SSD ,DOS / без ОС ,1200.0,Acer 
ASUS Vivobook 15 K513EA-L12013W 90NB0SG2-M38550,60643,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Home 64-bit ,1705.2024914285716,ASUS 
ASUS R565EA-BQ1875W 90NB0TY1-M00FW0,34562,15.6,1920x1080 FHD ,Intel Pentium Gold ,2.0,7505 ,2.0,Intel UHD Graphics ,4.0,SSD ,Windows 11 Home ,1800.0,ASUS 
HP 255 G8 27K56EA,75320,15.6,1920x1080 FHD ,AMD Ryzen 3 ,2.0,3250U ,2.6,AMD Radeon HD Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1740.0,HP 
Lenovo ThinkPad P1 G4 20Y3001LUK,232697,16.0,2560х1600 ,Intel Core i7 ,4.0,11850H ,2.5,NVIDIA Quadro T1200 ,16.0,SSD ,Windows 10 Pro 64-bit ,1705.2024914285716,Lenovo 
